0x807110,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Lck,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
None,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,65,0,0,0x1000002,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
Ephraim Lord,0x2bf,0x309,0x1,0x3,0x0,0x0,0x8b,0x1,18,6,6,7,6,0,8,5,60,20,20,20,20,20,20,4,90,45,40,45,15,15,40,0,0,0,0,0,0,UnlockEphraim|IsLord,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88aefd8,0x880b808,0x880bc59,0x880c069,GroundAvoid,GroundDefence,GroundResistance,0x0
Lord,0x2bf,0x30a,0x2,0x4,LordLanceStandID,0x0,0x8b,0x1,20,4,8,8,2,2,7,6,60,20,20,20,15,15,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,IsLord|UnlockEirika,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,LordAnims|IsPointer,0x880b808,0x880bc59,0x880c069,GroundAvoid,GroundDefence,GroundResistance,0x0
Ephraim Master Lord,0x2c0,0x30b,0x3,0x1,0x2,0x0,0x8b,0x2,18,3,3,4,5,0,10,7,60,27,26,24,23,23,25,6,90,45,40,45,15,15,40,4,2,3,2,2,5,IsPromoted|UnlockEphraim|IsLord|MountedAid|HasCanto|HorseIcon,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88aeff0,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Eirika Master Lord,0x2c0,0x30c,0x4,0x2,0x3,0x0,0x8b,0x2,18,3,3,4,5,0,7,7,60,24,29,30,22,25,25,6,90,45,40,45,15,20,40,4,2,2,1,3,5,IsPromoted|UnlockEirika|IsLord|MountedAid|HasCanto|HorseIcon|SwordmasterUnlock,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88aeffc,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Cavalier,0x2c1,0x30d,0x5,0x7,0x4,0x0,0x80,0x20,23,6,7,6,5,0,10,8,60,20,20,20,15,15,20,4,75,40,50,45,35,15,40,0,0,0,0,0,0,MountedAid|HasCanto|HorseIcon,ERank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af008,0x880ba92,0x880bee3,0x880c2f3,GroundAvoid,GroundDefence,GroundResistance,HorseType
Cavalier (F),0x2c1,0x30d,0x6,0x8,0x4,0x0,0x80,0x20,24,7,6,6,4,0,10,8,60,20,20,20,15,15,20,4,75,45,40,40,35,20,30,0,0,0,0,0,0,MountedAid|HasCanto|HorseIcon,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af018,0x880ba92,0x880bee3,0x880c2f3,GroundAvoid,GroundDefence,GroundResistance,HorseType
Paladin,0x2c2,0x30e,0x7,0x5,0x5,0x0,0x81,0x21,23,7,4,7,8,3,11,8,60,25,26,24,25,25,25,6,70,25,30,18,12,20,25,2,1,1,1,2,1,MountedAid|HasCanto|HorseIcon|IsPromoted,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af028,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Paladin (F),0x2c2,0x30e,0x8,0x6,0x5,0x0,0x81,0x21,23,6,6,11,7,6,9,8,60,23,27,25,24,26,25,6,70,25,35,25,12,25,25,1,1,1,2,1,2,MountedAid|HasCanto|HorseIcon|IsPromoted,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af038,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Knight (A),0x2c3,KnightDesc,0x9,0xb,KnightLanceStandID,0x1,0x76,0xc,28,9,4,2,11,3,14,5,60,20,20,15,25,15,20,4,95,55,35,20,60,20,40,0,0,0,0,0,0,0x0,ERank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,KnightAnims|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,GroundAvoid,GroundDefence,GroundResistance,ArmourType
Knight (B),0x2c3,KnightDesc,0xa,0xb,0x6,0x1,0x76,0xc,28,9,4,2,11,3,14,5,60,20,20,15,25,15,20,4,95,55,35,20,60,20,40,0,0,0,0,0,0,0x0,ERank,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,KnightAnims|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,GroundAvoid,GroundDefence,GroundResistance,ArmourType
General,GeneralName,0x310,0xb,0x9,0x7,0x1,0x77,0xd,33,10,7,6,13,5,15,6,60,30,30,25,35,25,25,6,95,55,35,20,60,20,40,5,2,3,4,2,2,IsPromoted,DRankPlus,DRankPlus,DRankPlus,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af060,0x880b88a,0x880bcdb,0x880c0eb,GroundAvoid,GroundDefence,GroundResistance,ArmourType
General (F),GeneralName,0x310,0xc,0xa,0x7,0x1,0x77,0xd,20,8,5,5,11,4,11,5,60,27,28,25,29,26,25,6,75,30,25,10,23,25,20,3,2,3,2,3,3,IsPromoted,ERank,CRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af080,0x880b88a,0x880bcdb,0x880c0eb,GroundAvoid,GroundDefence,GroundResistance,ArmourType
Thief,0x2c5,0x311,0xd,0x17,0x8,0x0,0x8e,0x7,18,2,8,7,0,0,6,7,60,15,20,20,15,15,15,4,60,25,70,65,20,10,40,0,0,0,0,0,0,CanUseLockpick,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af0a0,0x880b9cf,0x880be20,0x880c230,GroundAvoid,GroundDefence,GroundResistance,0x0
Thief (F),0x2c5,0x311,0xe,0x17,0x9,0x0,0x8f,0x1f,20,3,9,8,0,0,7,7,60,15,20,20,15,15,15,4,60,25,60,65,15,10,30,0,0,0,0,0,0,CanUseLockpick,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af0ac,0x880b9cf,0x880be20,0x880c230,GroundAvoid,GroundDefence,GroundResistance,0x0
Mercenary,MercenaryName,0x312,0xf,0x11,0xa,0x0,0x90,0x3,24,7,5,6,3,0,11,6,60,20,20,20,15,15,20,4,80,50,40,45,30,10,40,0,0,0,0,0,0,0x0,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af0b8,0x880b849,0x880bc9a,0x880c0aa,GroundAvoid,GroundDefence,GroundResistance,0x0
Mercenary (F),MercenaryName,0x312,0x10,0x12,0xb,0x0,0x90,0x3,23,6,9,8,3,0,9,6,60,20,20,20,15,15,20,4,75,40,55,50,25,10,40,0,0,0,0,0,0,0x0,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af0c4,0x880b849,0x880bc9a,0x880c0aa,GroundAvoid,GroundDefence,GroundResistance,0x0
Hero,HeroName,0x313,0x11,0xf,0xc,0x0,0x91,0x4,22,6,9,10,5,2,11,6,60,25,30,26,25,22,25,6,75,30,30,20,20,20,25,4,1,2,2,2,2,IsPromoted,CRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af0d0,0x880b808,0x880bc59,0x880c069,GroundAvoid,GroundDefence,GroundResistance,0x0
Hero (F),HeroName,0x313,0x12,0x10,0xd,0x0,0x91,0x4,22,6,10,11,6,3,9,6,60,24,30,26,24,24,25,6,75,30,30,20,20,20,25,0,0,0,0,0,0,IsPromoted,CRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af0ec,0x880b808,0x880bc59,0x880c069,GroundAvoid,GroundDefence,GroundResistance,0x0
Myrmidon,MyrmidonName,0x314,0x13,0x15,0xe,0x0,0x72,0x5,20,4,9,9,2,0,7,6,60,20,20,20,15,15,20,4,65,35,55,60,25,15,40,0,0,0,0,0,0,0x0,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af108,0x880b849,0x880bc9a,0x880c0aa,GroundAvoid,GroundDefence,GroundResistance,0x0
Myrmidon (F),MyrmidonName,0x314,0x14,0x16,0xf,0x0,0x72,0x5,22,5,9,10,2,0,8,6,60,20,20,20,15,15,20,4,70,35,60,60,25,20,30,0,0,0,0,0,0,0x0,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af114,0x880b849,0x880bc9a,0x880c0aa,GroundAvoid,GroundDefence,GroundResistance,0x0
Swordmaster,0x2c9,0x315,0x15,0x13,0x10,0x0,0x73,0x6,21,6,11,10,5,2,9,6,60,24,29,30,22,23,20,6,65,25,30,30,15,22,25,5,2,0,0,2,1,IsPromoted|CritBoost,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af120,0x880b808,0x880bc59,0x880c069,GroundAvoid,GroundDefence,GroundResistance,0x0
Swordmaster (F),0x2c9,0x315,0x16,0x14,0x11,0x0,0x73,0x6,19,6,11,12,4,3,7,6,60,22,29,30,22,25,20,6,65,25,30,30,15,22,25,4,2,1,0,2,1,IsPromoted|CritBoost,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af12c,0x880b808,0x880bc59,0x880c069,GroundAvoid,GroundDefence,GroundResistance,0x0
Assassin,0x2ca,0x316,0x17,0xd,0x12,0x0,0x8e,0x8,16,3,1,9,2,0,8,6,60,20,30,30,20,20,20,6,50,5,45,40,5,20,40,3,1,0,0,2,2,CanUseLockpick|IsPromoted|SwordmasterUnlock,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af138,0x880b9cf,0x880be20,0x880c230,GroundAvoid,GroundDefence,GroundResistance,0x0
Assassin (F),0x2ca,0x316,0x18,0xd,0x13,0x0,0x8e,0x8,16,3,1,9,2,0,6,6,60,20,30,30,20,20,20,6,50,5,45,40,5,20,40,2,1,1,1,2,1,CanUseLockpick|IsPromoted|SwordmasterUnlock,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af144,0x880b9cf,0x880be20,0x880c230,GroundAvoid,GroundDefence,GroundResistance,0x0
Archer,ArcherName,0x317,0x19,0x1b,0x14,0x0,0x78,0xa,21,4,9,8,1,0,8,6,60,20,20,20,15,15,20,4,70,40,60,50,25,10,40,0,0,0,0,0,0,UseBallista,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,0x88af150,0x880b849,0x880bc9a,0x880c0aa,GroundAvoid,GroundDefence,GroundResistance,0x0
Archer (F),ArcherName,0x317,0x1a,0x1c,0x15,0x0,0x78,0xa,21,6,9,7,1,0,8,6,60,20,20,20,20,20,20,4,70,35,40,32,15,15,35,0,0,0,0,0,0,UseBallista,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,0x88af168,0x880b849,0x880bc9a,0x880c0aa,GroundAvoid,GroundDefence,GroundResistance,0x0
Sniper,0x2cc,0x318,0x1b,0x19,0x16,0x0,0x79,0xb,25,8,11,10,5,2,9,7,60,20,20,20,20,20,20,6,70,35,40,32,15,20,35,3,3,2,2,2,0,IsPromoted|UseBallista,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,0x88af180,0x880b808,0x880bc59,0x880c069,GroundAvoid,GroundDefence,GroundResistance,0x0
Sniper (F),0x2cc,0x318,0x1c,0x1a,0x17,0x0,0x79,0xb,19,6,6,7,5,3,6,6,60,30,30,30,25,25,20,6,70,35,40,32,15,15,35,3,3,2,2,2,2,IsPromoted|UseBallista,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,0x88af198,0x880b808,0x880bc59,0x880c069,GroundAvoid,GroundDefence,GroundResistance,0x0
Ranger,0x2cd,0x319,0x1d,0x19,0x18,0x0,0x97,0xc,21,7,6,7,6,3,9,7,60,25,28,30,24,23,25,6,60,25,30,35,15,15,25,3,2,1,1,3,3,HorseIcon|IsPromoted|MountedAid|HasCanto,DRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,0x88af1b0,0x880bb55,0x880bfa6,0x880c3b6,GroundAvoid,GroundDefence,GroundResistance,HorseType
Ranger (F),0x2cd,0x319,0x1e,0x1a,0x18,0x0,0x97,0xc,0,0,0,0,0,0,0,0,60,23,28,30,22,25,25,6,60,25,30,35,15,20,25,2,2,2,1,3,3,HorseIcon|IsPromoted|MountedAid|HasCanto,DRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,0x88af1c0,0x880bb55,0x880bfa6,0x880c3b6,GroundAvoid,GroundDefence,GroundResistance,HorseType
Wyvern Rider,WyvernRiderName,0x31a,0x1f,0x21,0x19,0x0,0x88,0xd,24,7,6,5,7,0,11,7,60,20,20,20,20,15,20,4,80,45,40,45,45,5,40,0,0,0,0,0,0,MountedAid|HasCanto|DragonIcon,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af1d0,0x880bb96,0x880bfe7,0x880c3f7,FlierAvoid,FlierDefence,FlierResistance,DragonType|FlierType
Pegasus Knight (M),PegasusKnightName,0x31a,0x20,0x22,0x1a,0x0,0x88,0xd,19,4,7,9,1,6,7,8,60,20,20,20,15,15,20,4,65,30,45,55,25,35,40,0,0,0,0,0,0,MountedAid|HasCanto|PegIcon,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af4dc,0x880bb96,0x880bfe7,0x880c3f7,FlierAvoid,FlierDefence,FlierResistance,FlierType
Wyvern Lord,0x2cf,0x31b,0x21,0x1f,0x1b,0x0,0x89,0xe,25,9,5,7,10,1,11,8,60,27,25,23,28,22,25,6,75,40,30,20,20,17,20,4,2,2,0,2,0,MountedAid|HasCanto|DragonIcon|IsPromoted,DRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af1e8,0x880bb96,0x880bfe7,0x880c3f7,FlierAvoid,FlierDefence,FlierResistance,DragonType|FlierType
Falcon Knight (M),0x2cf,0x31b,0x22,0x20,0x1c,0x0,0x89,0xe,24,8,7,7,9,2,10,8,60,30,30,30,30,30,30,6,75,40,30,20,20,17,20,0,0,0,0,0,0,MountedAid|HasCanto|DragonIcon|IsPromoted,DRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af1f8,0x880bb96,0x880bfe7,0x880c3f7,FlierAvoid,FlierDefence,FlierResistance,FlierType
Wyvern Knight,0x2d0,0x31c,0x23,0x1f,0x1d,0x0,0x93,0xf,20,7,7,8,7,1,10,8,60,25,26,28,24,22,25,6,65,35,30,30,15,17,25,3,1,2,3,0,1,MountedAid|HasCanto|DragonIcon|IsPromoted,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af208,0x880bb96,0x880bfe7,0x880c3f7,FlierAvoid,FlierDefence,FlierResistance,DragonType|FlierType
Wyvern Knight (F),0x2d0,0x31c,0x24,0x20,0x1d,0x0,0x93,0xf,19,6,8,9,6,2,9,8,60,24,27,29,23,23,25,6,65,35,30,30,15,20,25,3,2,1,2,1,1,MountedAid|HasCanto|DragonIcon|IsPromoted,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af214,0x880bb96,0x880bfe7,0x880c3f7,FlierAvoid,FlierDefence,FlierResistance,DragonType|FlierType
Mage,MageName,0x31d,0x25,0x27,0x1e,0x0,0x7c,0x12,19,0,8,8,0,4,7,6,60,15,20,20,15,20,15,4,60,10,55,50,15,30,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,0x88af220,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Mage (F),MageName,0x31d,0x26,0x28,0x1f,0x0,0x7c,0x12,19,0,8,8,0,4,7,6,60,15,20,20,15,20,15,4,60,10,55,50,15,30,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,0x88af234,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Sage,SageName,0x31e,0x27,0x25,0x20,0x0,0x7d,0x13,22,1,10,11,3,7,8,7,60,20,30,30,25,30,20,6,60,10,55,50,15,30,40,3,1,2,2,3,3,IsPromoted,NoRank,NoRank,NoRank,NoRank,DRank,DRank,NoRank,NoRank,0x88af248,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Sage (F),SageName,0x31e,0x28,0x26,0x21,0x0,0x7d,0x13,22,1,10,11,3,7,8,7,60,20,30,30,25,30,20,6,60,10,55,50,15,30,40,3,1,2,2,3,3,IsPromoted,NoRank,NoRank,NoRank,NoRank,DRank,DRank,NoRank,NoRank,0x88af260,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Mage Knight,0x2d3,0x31f,0x29,0x25,0x22,0x0,0x95,0x14,20,4,3,5,5,5,8,7,60,24,26,25,24,25,25,6,45,40,30,40,10,40,30,4,2,0,0,2,2,HorseIcon|IsPromoted|MountedAid|HasCanto,NoRank,NoRank,NoRank,NoRank,DRank,CRank,NoRank,NoRank,0x88af278,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Mage Knight (F),0x2d3,0x31f,0x2a,0x26,0x23,0x0,0x95,0x14,19,3,5,6,3,6,6,7,60,25,24,25,24,28,25,6,45,40,30,40,10,40,40,3,2,1,0,2,2,HorseIcon|IsPromoted|MountedAid|HasCanto,NoRank,NoRank,NoRank,NoRank,DRank,CRank,NoRank,NoRank,0x88af290,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Bishop,0x2d4,0x320,0x2b,0x45,0x24,0x0,0x7b,0x18,21,4,4,4,3,8,7,6,60,25,26,24,22,30,20,6,45,35,25,22,8,40,40,3,2,1,0,3,2,IsPromoted,NoRank,NoRank,NoRank,NoRank,CRank,NoRank,DRank,NoRank,0x88af2a8,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Bishop (F),0x2d4,0x320,0x2c,0x4a,0x25,0x0,0x7b,0x18,19,4,5,4,2,9,5,6,60,25,25,26,21,30,20,6,45,35,25,22,8,50,40,3,1,2,1,2,2,IsPromoted,NoRank,NoRank,NoRank,NoRank,CRank,NoRank,DRank,NoRank,0x88af2c0,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Scholar,ScholarName,ScholarDesc,0x2d,0x2f,0x26,0x0,0x7e,0x1b,21,0,6,5,1,6,8,6,60,15,20,20,15,20,20,4,60,10,40,35,20,40,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,0x88af2d8,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Scholar (F),ScholarName,ScholarDesc,0x2e,0x30,0x26,0x0,0x7e,0x1b,21,0,6,5,1,6,8,6,60,15,20,20,15,20,20,4,60,10,40,35,20,40,40,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,0x88af2ec,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Sorcerer,SorcererName,SorcererDesc,0x2f,0x2d,0x27,0x0,0x7f,0x1c,25,1,8,8,4,8,9,7,60,30,30,30,30,30,30,6,60,10,40,35,20,40,40,4,1,2,3,2,2,IsPromoted,NoRank,NoRank,NoRank,NoRank,DRank,DRank,NoRank,NoRank,0x88af300,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Sorcerer (F),SorcererName,SorcererDesc,0x30,0x2e,0x27,0x0,0x7f,0x1c,25,1,8,8,4,8,9,7,60,29,26,26,21,28,20,6,60,10,40,35,20,40,40,4,1,2,3,2,2,IsPromoted,NoRank,NoRank,NoRank,NoRank,DRank,DRank,NoRank,NoRank,0x88af318,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Summoner,0x2e3,0x32e,0x31,0x2d,0x28,0x0,0x7f,0x1d,18,5,3,4,3,5,8,6,60,27,27,26,20,28,20,6,45,50,30,25,8,35,20,3,0,1,3,1,3,Summoning|IsPromoted,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,0x88af330,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Summoner (F),0x2e3,0x32e,0x32,0x2e,0x28,0x0,0x7f,0x1d,18,5,3,4,3,5,4,6,60,27,27,26,20,28,20,6,45,50,30,25,8,35,20,0,0,0,0,0,0,Summoning|IsPromoted,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,0x88af348,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Rogue,0x2db,0x326,0x33,0xd,0x29,0x0,0x94,0x9,16,3,1,9,2,0,7,6,60,20,30,30,20,20,20,6,50,10,45,35,5,20,40,2,1,1,0,2,2,IsPromoted|CanUseLockpick|Steal,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af360,0x880b9cf,0x880be20,0x880c230,GroundAvoid,GroundDefence,GroundResistance,SwordType
Gorgon Egg,0x300,0x34c,0x34,0x0,0x2a,0x0,0xa6,0x0,50,0,0,0,10,10,6,0,60,30,30,30,30,30,30,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,GroundAvoid,GroundDefence,GroundResistance,MonsterType
Gendarme,GendarmeName,GendarmeDesc,0x35,0x9,0x2b,0x1,0x96,0x22,31,9,7,6,11,4,14,8,80,30,30,25,35,25,25,6,85,50,35,30,55,20,40,3,1,3,4,0,1,HorseIcon|IsPromoted|MountedAid|HasCanto,DRank,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af36c,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType|ArmourType
Great Knight (F),0x2e0,0x32b,0x36,0xa,0x2b,0x1,0x96,0x22,20,6,6,7,9,3,10,6,60,26,26,25,28,26,25,3,70,30,25,20,21,22,20,3,1,1,2,2,2,HorseIcon|IsPromoted|MountedAid|HasCanto,ERank,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af38c,0x880bad3,0x880bf24,0x880c334,GroundAvoid,GroundDefence,GroundResistance,HorseType
Recruit (2),0x2da,0x332,0x37,0x3a,0x2c,0x0,0x8a,0x28,18,5,3,3,6,0,6,5,60,20,20,20,20,20,20,3,75,45,40,40,25,35,40,2,1,1,1,2,1,0x0,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af3ac,0x880b849,0x880bc9a,0x880c0aa,GroundAvoid,GroundDefence,GroundResistance,0x0
Journeyman (3),0x2d8,0x324,0x38,0x7e,0x2d,0x0,0x74,0x27,28,8,5,6,5,0,8,6,60,26,29,28,23,23,20,3,85,55,40,32,18,20,40,4,1,2,2,2,2,CritBoost|IsPromoted,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af3b8,0x880b8cb,0x880bd1c,0x880c12c,GroundAvoid,GroundDefence,GroundResistance,0x0
Pupil (3),0x2d9,0x325,0x39,0x7f,0x2e,0x0,0x7c,0x29,20,5,4,4,5,5,5,6,60,29,28,27,21,26,20,3,55,55,40,35,10,30,40,4,2,0,1,3,3,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,ERank,DRank,0x88af3d0,0x880ba10,0x880be61,0x880c271,GroundAvoid,GroundDefence,GroundResistance,0x0
Recruit (3),0x2da,0x332,0x3a,0x37,0x2c,0x0,0x8a,0x28,23,6,6,11,7,6,6,6,60,23,30,29,22,26,20,3,75,45,40,40,25,35,40,2,2,1,1,2,1,IsPromoted|CritBoost,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af3e4,0x880b849,0x880bc9a,0x880c0aa,GroundAvoid,GroundDefence,GroundResistance,0x0
Manakete,0x2d7,0x323,0x3b,0x1f,0x2f,0x0,0xa9,0x1f,20,0,0,2,1,1,25,3,60,20,20,20,20,20,25,3,95,40,30,20,0,10,25,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af3f0,0x880bb96,0x880bfe7,0x880c3f7,FlierAvoid,FlierDefence,FlierResistance,DragonType
